,total_baskets,unique_products,total_items,total_spend,avg_transaction_value,day_span,active_weeks,total_retail_discount,total_coupon_discount,total_coupon_match_discount,unique_stores_visited,top_dept_spend,campaigns_participated,coupons_redeemed,basket_frequency,discount_ratio,avg_basket_value,avg_items_per_basket,product_diversity,coupon_redemption_rate
total_baskets,1.0,0.6966630735222515,0.49598412879403736,0.7030302021152968,-0.01690020160847619,0.2226616167865562,0.742188613135565,-0.6643169191698842,-0.34767999021564194,-0.23946204642752095,0.32208389983370106,0.6753554544552763,0.6287487325069749,0.2453676790070671,0.9954866441253225,0.0641336122556774,-0.12439593904747961,0.16678656025402105,-0.35713151999918263,0.1691231388553908
unique_products,0.6966630735222515,1.0,0.4717059269404323,0.8986966658296265,-0.05204489798661162,0.27040693449620895,0.7517581347001302,-0.8837102631736131,-0.4542158577326367,-0.3641088743120325,0.32198631005359607,0.9002992466871563,0.8028275851879441,0.3727629112412232,0.6889713756125743,0.033565380744573485,0.3635352893450465,0.23757053503941836,-0.37668164994188474,0.2651358839163651
total_items,0.49598412879403736,0.4717059269404323,1.0,0.6661458122172467,0.29605821019479983,0.0849330018114823,0.4257893283000406,-0.48546524025063453,-0.3394852480494725,-0.29075870239412716,0.1943039472540303,0.5570371195057713,0.3949942640830628,0.3212030412971599,0.49850654143723,0.1395268380866892,0.11633641620018645,0.7049397370356787,-0.3603178667088538,0.24673185642716478
total_spend,0.7030302021152968,0.8986966658296265,0.6661458122172467,1.0,0.14549799322600657,0.2198881201136398,0.718506359667822,-0.8703935098789932,-0.46437923143389925,-0.3578870969473559,0.26521975894389926,0.9667191762788464,0.7602129444696032,0.4041776087338711,0.6987775792581111,0.12749108975397697,0.38917102005608245,0.3606766344630657,-0.37750256081145905,0.28479986788482603
avg_transaction_value,-0.01690020160847619,-0.05204489798661162,0.29605821019479983,0.14549799322600657,1.0,-0.03470786961395122,-0.03594921551310771,-0.01302084799785184,-0.04245603633297796,-0.003794421536974368,-0.02041320883626051,0.10424825078830083,-0.012716502560801757,0.018224675847231656,-0.013109246951292432,0.28973949966622115,0.2017023960813282,0.45247288282237624,-0.17212872959415693,0.018232322007331374
day_span,0.2226616167865562,0.27040693449620895,0.0849330018114823,0.2198881201136398,-0.03470786961395122,1.0,0.40295123320356924,-0.2237753802941329,-0.10598878793409001,-0.08564767775767618,0.19237686200001286,0.2318836766120561,0.2583852693722922,0.08548898063211653,0.16395986547201358,0.019251363479713398,0.008209250897397515,-0.014896609020479734,-0.2084421796707722,0.064111575368564
active_weeks,0.742188613135565,0.7517581347001302,0.4257893283000406,0.718506359667822,-0.03594921551310771,0.40295123320356924,1.0,-0.6993720725924357,-0.35968865564816693,-0.2804057834286649,0.37414829600694416,0.7225111226289898,0.7784104616654295,0.3188552055833062,0.7268506627519978,0.05542540740821889,0.007311352992968202,0.1998795285055346,-0.47219868592960224,0.25435113855739466
total_retail_discount,-0.6643169191698842,-0.8837102631736131,-0.48546524025063453,-0.8703935098789932,-0.01302084799785184,-0.2237753802941329,-0.6993720725924357,1.0,0.5392560718749629,0.43686348422470433,-0.25778528082802,-0.8852135426403988,-0.7445008910847833,-0.439612836184495,-0.6586108978372988,0.18006428925029386,-0.3164758084340558,-0.24662196977007128,0.36467723929781465,-0.3221453141435431
total_coupon_discount,-0.34767999021564194,-0.4542158577326367,-0.3394852480494725,-0.46437923143389925,-0.04245603633297796,-0.10598878793409001,-0.35968865564816693,0.5392560718749629,1.0,0.8751039929006496,-0.13367181458011274,-0.46722416193457944,-0.4243974885897488,-0.6185607311517508,-0.3424043118318989,0.17196237633331216,-0.17202380624681385,-0.22856086347089966,0.2070342194560666,-0.4552173765312866
total_coupon_match_discount,-0.23946204642752095,-0.3641088743120325,-0.29075870239412716,-0.3578870969473559,-0.003794421536974368,-0.08564767775767618,-0.2804057834286649,0.43686348422470433,0.8751039929006496,1.0,-0.10580055706688038,-0.37158686393291473,-0.3521366578808551,-0.5880927311356775,-0.23527402533308617,0.1815654691770878,-0.1619243192926109,-0.21866508270964288,0.16992884313708384,-0.4390698898671115
unique_stores_visited,0.32208389983370106,0.32198631005359607,0.1943039472540303,0.26521975894389926,-0.02041320883626051,0.19237686200001286,0.37414829600694416,-0.25778528082802,-0.13367181458011274,-0.10580055706688038,1.0,0.25370169619732746,0.28889275770055173,0.09425113166833787,0.3154715442908702,0.050101732543286474,-0.07914679186205398,0.1098371766357418,-0.3211915063416883,0.07360533588667684
top_dept_spend,0.6753554544552763,0.9002992466871563,0.5570371195057713,0.9667191762788464,0.10424825078830083,0.2318836766120561,0.7225111226289898,-0.8852135426403988,-0.46722416193457944,-0.37158686393291473,0.25370169619732746,1.0,0.7772665213297776,0.402451151619117,0.6691525876134035,0.09041100559888027,0.4068554507895055,0.28417774771158405,-0.35517088864093244,0.2823095494177031
campaigns_participated,0.6287487325069749,0.8028275851879441,0.3949942640830628,0.7602129444696032,-0.012716502560801757,0.2583852693722922,0.7784104616654295,-0.7445008910847833,-0.4243974885897488,-0.3521366578808551,0.28889275770055173,0.7772665213297776,1.0,0.4185811281993894,0.6181232364034207,0.067342289601997,0.2366685169753043,0.20222619585847856,-0.35666133773696085,0.24950993129685692
coupons_redeemed,0.2453676790070671,0.3727629112412232,0.3212030412971599,0.4041776087338711,0.018224675847231656,0.08548898063211653,0.3188552055833062,-0.439612836184495,-0.6185607311517508,-0.5880927311356775,0.09425113166833787,0.402451151619117,0.4185811281993894,1.0,0.24316457121232443,-0.05677748369650639,0.19498612771308207,0.2311536948724294,-0.1818790087965327,0.8206510015362372
basket_frequency,0.9954866441253225,0.6889713756125743,0.49850654143723,0.6987775792581111,-0.013109246951292432,0.16395986547201358,0.7268506627519978,-0.6586108978372988,-0.3424043118318989,-0.23527402533308617,0.3154715442908702,0.6691525876134035,0.6181232364034207,0.24316457121232443,1.0,0.06564259975023701,-0.12439029851147693,0.17753802535005817,-0.3571063722249419,0.16940771482624245
discount_ratio,0.0641336122556774,0.033565380744573485,0.1395268380866892,0.12749108975397697,0.28973949966622115,0.019251363479713398,0.05542540740821889,0.18006428925029386,0.17196237633331216,0.1815654691770878,0.050101732543286474,0.09041100559888027,0.067342289601997,-0.05677748369650639,0.06564259975023701,1.0,0.09243599362948915,0.1722246264592733,-0.05386930499691352,-0.07111495801937487
avg_basket_value,-0.12439593904747961,0.3635352893450465,0.11633641620018645,0.38917102005608245,0.2017023960813282,0.008209250897397515,0.007311352992968202,-0.3164758084340558,-0.17202380624681385,-0.1619243192926109,-0.07914679186205398,0.4068554507895055,0.2366685169753043,0.19498612771308207,-0.12439029851147693,0.09243599362948915,1.0,0.1975258230840287,-0.061111058180701706,0.1677132276863858
avg_items_per_basket,0.16678656025402105,0.23757053503941836,0.7049397370356787,0.3606766344630657,0.45247288282237624,-0.014896609020479734,0.1998795285055346,-0.24662196977007128,-0.22856086347089966,-0.21866508270964288,0.1098371766357418,0.28417774771158405,0.20222619585847856,0.2311536948724294,0.17753802535005817,0.1722246264592733,0.1975258230840287,1.0,-0.487518409206437,0.20077676069688943
product_diversity,-0.35713151999918263,-0.37668164994188474,-0.3603178667088538,-0.37750256081145905,-0.17212872959415693,-0.2084421796707722,-0.47219868592960224,0.36467723929781465,0.2070342194560666,0.16992884313708384,-0.3211915063416883,-0.35517088864093244,-0.35666133773696085,-0.1818790087965327,-0.3571063722249419,-0.05386930499691352,-0.061111058180701706,-0.487518409206437,1.0,-0.16548375353629372
coupon_redemption_rate,0.1691231388553908,0.2651358839163651,0.24673185642716478,0.28479986788482603,0.018232322007331374,0.064111575368564,0.25435113855739466,-0.3221453141435431,-0.4552173765312866,-0.4390698898671115,0.07360533588667684,0.2823095494177031,0.24950993129685692,0.8206510015362372,0.16940771482624245,-0.07111495801937487,0.1677132276863858,0.20077676069688943,-0.16548375353629372,1.0
